ID;ppos;def;mf;st;foot;Age;RepGK;HeiGK;ClubNT;tpos;tup0;tup;tmid0;tmid;tbot0;tbot;otpos;oup0;oup;omid0;omi;obot0;obot;fav;favU;favF;loc;locH;locN;locA;rno;rno1;rno2;rnoGroup;rnoLS;rnoQF;rnoSF;rnoF;rko;comp;comLea;comCup;comECC;comQuali;comNTC;comFrie;SpecM;Imp;Importantness Game;IngSo;iLdbb;bb3;bb2o;bb2;bb1;d0;il1;il2;Min;Minf30;Minf3;Mins30;Mins3;Mint30;Mint3;Min900;Min90;Dec;GKSo;GKS;moveGK;notmovingGK;nmovGK;cjGrey;cjBlack;cjBlue;cjGreen;cjYellow;cjOrange;cjRed;la1;la2;la3;la4;la5;la6;lpbg;lGKd;tlpmon;Stlsbg;SlGKd;Solsbg;SR1;SRGK1;SR2;SRGK2;SR3;SRGK3;SR4;SRGK4;SR5;SRGK5;SR6;SRGK6;MP1;MPGK1;MP2;MPGK2;MP3;MPGK3;MP4;MPGK4;MP5;MP6;MPGK6;perc1;perc2;perc3;perc4;perc5;perc6;av_1;av_2;av_3;av_4;av_5;av_6;move;still;Choice
189;3;0;0;1;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;2;3;0;3;0;0;0;1;0;0;0;3;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;3;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0;0;0,3;0,4;0;0,3;1;1;1;1;1;1;1;0;6
189;3;0;0;1;0;1;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;3;0;0;1;0;0;0;0;0;3;0;0;1;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;1;1;2;0;1;0;1;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;1;1;2;2;1;1;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0;0;0,272727273;0,363636364;0;0,363636364;1;1;1;1;1;1;1;0;6
189;3;0;0;1;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;4;0;1;1;2;0;1;0;1;0;3;2;3;0;1;0;0;0;0;0;0;0;1;1;1;1;1;2;2;1;7;0;0;0;0,064655172;0,060355069;0,037878788;0,035359535;0,033018868;0,03082284;0,16856492;0,157353958;0,242236025;0,226125325;0,184387618;0,172124316;0,120689655;0,112662795;0,159090909;0,148510047;0,155660377;0,145307674;0,039863326;0,037212085;0;0,022880215;0,021358492;0;0;0,25;0,333333333;0;0,416666667;1;1;1;1;1;1;1;0;4
189;3;0;0;1;0;1;0;9;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;3;0;0;0;1;0;0;0;2;1;2;0;1;0;1;0;1;0;3;2;2;0;1;0;0;1;0;0;0;0;1;1;1;2;1;1;2;3;5;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0;0;0,230769231;0,384615385;0;0,384615385;1;1;1;1;1;1;1;0;2
189;3;0;0;1;0;1;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;4;0;0;0;1;0;0;0;1;3;0;0;1;0;0;0;0;3;4;0;6;0;0;0;0;0;0;1;4;0;1;1;2;0;1;0;1;0;3;2;2;0;1;0;0;0;0;0;1;0;1;2;1;1;1;1;1;1;2;0;0;0;0,064655172;0,066174034;0,037878788;0,038768626;0,033018868;0,033794538;0,16856492;0,172524801;0,242236025;0,247926567;0,184387618;0,188719201;0,120689655;0,123524864;0,159090909;0,162828229;0,155660377;0,159317108;0,039863326;0,040799784;0;0,022880215;0,023417711;0;0,071428571;0,214285714;0,357142857;0;0,357142857;1;1;1;1;1;1;1;0;6
189;3;0;0;1;0;1;0;15;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;3;2;2;0;1;0;0;0;0;0;1;0;1;1;1;1;1;2;2;3;2;0;0;0;0,064655172;0,068760241;0,037878788;0,040283778;0,033018868;0,035115293;0,16856492;0,179267398;0,242236025;0,257616008;0,184387618;0,196094706;0,120689655;0,12835245;0,159090909;0,169191866;0,155660377;0,165543524;0,039863326;0,042394317;0;0,022880215;0,02433292;0;0,066666667;0,2;0,333333333;0;0,4;1;1;1;1;1;1;1;0;1
189;3;0;0;1;0;1;0;14;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;2;1;1;1;1;1;2;3;1;0;0;0;0,064655172;0,068113689;0,037878788;0,03990499;0,033018868;0,034785104;0,16856492;0,177581749;0,242236025;0,255193648;0,184387618;0,19425083;0,120689655;0,127145553;0,159090909;0,167600957;0,155660377;0,16398692;0,039863326;0,041995684;0;0,022880215;0,024104118;0,0625;0,0625;0,1875;0,3125;0;0,375;1;1;1;1;1;1;1;0;6
190;3;0;0;1;1;9;0;11;0;2;0;1;1;2;0;1;3;0;1;0;1;1;2;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;1;1;2;0;1;0;1;0;1;0;3;2;2;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,064655172;0,066174034;0,037878788;0,038768626;0,033018868;0,033794538;0,16856492;0,172524801;0,242236025;0,247926567;0,184387618;0,188719201;0,120689655;0,123524864;0,159090909;0,162828229;0,155660377;0,159317108;0,039863326;0,040799784;0;0,022880215;0,023417711;0;0;0;0;0;0;1;1;1;1;1;1;1;0;5
191;3;0;0;1;1;4;0;8;0;2;0;1;1;2;0;1;2;0;1;1;2;0;1;5;0;1;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;3;0;0;0;1;0;0;0;4;0;1;1;2;0;1;0;1;0;3;2;3;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0,064655172;0,064234379;0,037878788;0,037632262;0,033018868;0,032803972;0,16856492;0,167467854;0,242236025;0,240659487;0,184387618;0,183187573;0,120689655;0,119904174;0,159090909;0,158055502;0,155660377;0,154647297;0,039863326;0,039603884;0;0,022880215;0,022731305;0;0;0;0;0;0;1;1;1;1;1;1;1;0;4
191;3;0;0;1;1;4;0;9;0;2;0;1;1;2;0;1;3;0;1;0;1;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;2;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0;0;0;1;0;0;1;1;1;1;1;1;1;0;6
191;3;0;0;1;1;4;0;15;0;1;1;2;0;1;0;1;2;0;1;1;2;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;3;0;0;0;1;0;0;0;5;0;1;0;1;1;2;0;1;0;3;2;0;1;2;0;0;0;0;1;0;0;1;1;1;1;1;2;2;3;4;0;0;0;0,064655172;0,068760241;0,037878788;0,040283778;0,033018868;0,035115293;0,16856492;0,179267398;0,242236025;0,257616008;0,184387618;0,196094706;0,120689655;0,12835245;0,159090909;0,169191866;0,155660377;0,165543524;0,039863326;0,042394317;0;0,022880215;0,02433292;0;0;0;0,5;0;0,5;1;1;1;1;1;1;1;0;6
191;3;0;0;1;1;4;0;9;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;2;1;2;0;1;0;1;0;1;0;3;2;3;0;1;0;0;0;1;0;0;0;1;1;1;1;1;2;2;1;1;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0;0;0;0,333333333;0;0,666666667;1;1;1;1;1;1;1;0;4
191;3;0;0;1;1;4;0;5;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;6;0;0;0;0;0;1;0;1;4;0;0;1;0;0;0;1;3;5;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;3;0;0;0;0,064655172;0,062294724;0,037878788;0,036495899;0,033018868;0,031813406;0,16856492;0,162410906;0,242236025;0,233392406;0,184387618;0,177655944;0,120689655;0,116283484;0,159090909;0,153282775;0,155660377;0,149977486;0,039863326;0,038407985;0;0,022880215;0,022044898;0;0;0;0,5;0;0,5;1;1;1;1;1;1;1;0;4
192;1;1;0;0;0;1;0;2;0;3;0;1;0;1;1;2;2;0;1;1;2;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;0;0;0;1,00E-11;0,00E+00;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,064655172;0,060355069;0,037878788;0,035359535;0,033018868;0,03082284;0,16856492;0,157353958;0,242236025;0,226125325;0,184387618;0,172124316;0,120689655;0,112662795;0,159090909;0,148510047;0,155660377;0,145307674;0,039863326;0,037212085;0;0,022880215;0,021358492;0;0;0;0;0;0;1;1;1;1;1;1;1;0;6
192;1;1;0;0;0;1;0;4;0;3;0;1;0;1;1;2;2;0;1;1;2;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;2;0;1;1;0;0;0;0;5;0;1;0;1;1;2;0;1;0;3;2;1;0;1;1;0;0;0;0;0;0;1;1;1;1;1;2;2;3;1;0;0;0;0,064655172;0,061648172;0,037878788;0,036117111;0,033018868;0,031483217;0,16856492;0,160725257;0,242236025;0,230970046;0,184387618;0,175812068;0,120689655;0,115076588;0,159090909;0,151691866;0,155660377;0,148420882;0,039863326;0,038009351;0;0,022880215;0,021816096;0;0;0;0;0;1;1;1;1;1;1;1;1;0;4
192;1;1;0;0;0;3;0;11;0;3;0;1;0;1;1;2;1;1;2;0;1;0;1;1;1;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;4;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;1;0;0;0;0;0;1;1;1;2;1;1;1;1;9;0;0;0;0,064655172;0,066174034;0,037878788;0,038768626;0,033018868;0,033794538;0,16856492;0,172524801;0,242236025;0,247926567;0,184387618;0,188719201;0,120689655;0,123524864;0,159090909;0,162828229;0,155660377;0,159317108;0,039863326;0,040799784;0;0,022880215;0,023417711;0;0;0;0,5;0;0,5;1;1;1;1;1;1;1;0;2
192;1;1;0;0;0;4;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;3;0;0;1;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;1;2;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;0;1;0;0;0;1;0;0;0;1;2;1;1;1;1;2;3;8;1;1;2;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0;0,333333333;0;0,333333333;0;0,333333333;1;1;1;1;1;1;1;0;6
192;1;1;0;0;0;6;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;2;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;1;1;2;2;3;8;2;1;2;0,064655172;0,066174034;0,037878788;0,038768626;0,033018868;0,033794538;0,16856492;0,172524801;0,242236025;0,247926567;0,184387618;0,188719201;0,120689655;0,123524864;0,159090909;0,162828229;0,155660377;0,159317108;0,039863326;0,040799784;0;0,022880215;0,023417711;0;0,25;0;0,25;0;0,5;1;1;1;1;1;1;1;0;5
192;1;1;0;0;0;7;0;16;0;1;1;2;0;1;0;1;3;0;1;0;1;1;2;3;0;1;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;0;0;0;0;0;0;1;1;1;1;2;1;2;3;8;0;0;0;0,064655172;0,070053344;0,037878788;0,041041353;0,033018868;0,03577567;0,16856492;0,182638697;0,242236025;0,262460729;0,184387618;0,199782458;0,120689655;0,130766243;0,159090909;0,172373684;0,155660377;0,168656731;0,039863326;0,043191584;0;0,022880215;0,024790524;0;0,2;0;0,2;0,2;0,4;1;1;1;1;1;1;1;0;6
192;1;1;0;0;0;7;0;13;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;5;0;0;0;0;1;0;0;1;2;0;1;0;0;0;0;0;3;4;0;4;0;0;0;0;1;0;0;7;0;1;0;1;0;1;1;2;1;3;2;0;1;2;0;0;0;0;0;1;0;1;1;1;1;1;2;2;3;3;0;0;0;0,064655172;0,067467138;0,037878788;0,039526202;0,033018868;0,034454916;0,16856492;0,1758961;0,242236025;0,252771288;0,184387618;0,192406954;0,120689655;0,125938657;0,159090909;0,166010047;0,155660377;0,162430316;0,039863326;0,041597051;0;0,022880215;0,023875315;0;0,166666667;0;0,166666667;0,166666667;0,5;1;1;1;1;1;1;1;0;1
192;1;1;0;0;0;7;0;2;0;1;1;2;0;1;0;1;1;1;2;0;1;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;2;1;2;0;1;0;1;0;1;0;3;2;2;0;1;0;0;0;1;0;0;0;2;1;1;1;1;1;2;3;1;0;0;0;0,064655172;0,060355069;0,037878788;0,035359535;0,033018868;0,03082284;0,16856492;0,157353958;0,242236025;0,226125325;0,184387618;0,172124316;0,120689655;0,112662795;0,159090909;0,148510047;0,155660377;0,145307674;0,039863326;0,037212085;0;0,022880215;0,021358492;0,142857143;0,142857143;0;0,142857143;0,142857143;0,428571429;1;1;1;1;1;1;1;0;6
192;1;1;0;0;0;9;0;9;0;1;1;2;0;1;0;1;3;0;1;0;1;1;2;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;6;0;0;0;0;0;0;1;6;0;1;0;1;1;2;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;1;1;2;2;1;8;0;0;0;0,064655172;0,064880931;0,037878788;0,03801105;0,033018868;0,033134161;0,16856492;0,169153503;0,242236025;0,243081847;0,184387618;0,185031449;0,120689655;0,12111107;0,159090909;0,159646411;0,155660377;0,156203901;0,039863326;0,040002518;0;0,022880215;0,022960107;0,125;0,125;0;0,125;0,125;0,5;1;1;1;1;1;1;1;0;4
193;1;1;0;0;1;4;0;6;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;1;1;0;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;3;2;0,064655172;0,062941275;0,037878788;0,036874687;0,033018868;0,032143595;0,16856492;0,164096555;0,242236025;0,235814766;0,184387618;0,17949982;0,120689655;0,117490381;0,159090909;0,154873684;0,155660377;0,15153409;0,039863326;0,038806618;0;0,022880215;0,0222737;0;0;0;0;0;0;1;1;1;1;1;1;1;0;6
194;2;0;1;0;1;5;0;4;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;5;0;0;0;0;1;0;0;1;6;0;0;0;0;1;0;1;3;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;3;1;0,064655172;0,061648172;0,037878788;0,036117111;0,033018868;0,031483217;0,16856492;0,160725257;0,242236025;0,230970046;0,184387618;0,175812068;0,120689655;0,115076588;0,159090909;0,151691866;0,155660377;0,148420882;0,039863326;0,038009351;0;0,022880215;0,021816096;0;0;0;0;0;0;1;1;1;1;1;1;1;0;4
195;2;0;1;0;1;14;0;11;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;3;0;0;1;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;3;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0,064655172;0,066174034;0,037878788;0,038768626;0,033018868;0,033794538;0,16856492;0,172524801;0,242236025;0,247926567;0,184387618;0,188719201;0,120689655;0,123524864;0,159090909;0,162828229;0,155660377;0,159317108;0,039863326;0,040799784;0;0,022880215;0,023417711;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1
195;2;0;1;0;1;2;0;10;0;1;1;2;0;1;0;1;1;1;2;0;1;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;3;0;1;1;2;0;1;0;1;0;3;2;2;0;1;0;0;0;1;0;0;0;2;1;1;1;1;1;2;3;7;0;0;0;0,064655172;0,065527482;0,037878788;0,038389838;0,033018868;0,033464349;0,16856492;0,170839152;0,242236025;0,245504207;0,184387618;0,186875325;0,120689655;0,122317967;0,159090909;0,16123732;0,155660377;0,157760505;0,039863326;0,040401151;0;0,022880215;0,023188909;1;0;0;0;0;0;1;1;1;1;1;1;1;0;4
196;2;0;1;0;1;6;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;2;0;1;0;4;0;0;0;1;0;0;0;1;6;0;0;0;0;1;0;0;3;4;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;3;2;0;1;2;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;1;2;0,064655172;0,059708517;0,037878788;0,034980747;0,033018868;0,030492651;0,16856492;0,155668309;0,242236025;0,223702965;0,184387618;0,17028044;0,120689655;0,111455898;0,159090909;0,146919138;0,155660377;0,143751071;0,039863326;0,036813452;0;0,022880215;0,02112969;0;0;0;0;0;0;1;1;1;1;1;1;1;0;1
197;2;0;1;0;0;4;1;12;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;1;1;0;0;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;1;2;3;1;3;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;1;3;2;2;0;1;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;2;3;2;0,064655172;0,066820586;0,037878788;0,039147414;0,033018868;0,034124727;0,16856492;0,174210451;0,242236025;0,250348928;0,184387618;0,190563077;0,120689655;0,12473176;0,159090909;0,164419138;0,155660377;0,160873712;0,039863326;0,041198417;0;0,022880215;0,023646513;0;0;0;0;0;0;1;1;1;1;1;1;1;0;6
198;2;0;1;0;0;1;0;4;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;5;0;1;3;0;0;1;2;0;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;2;3;1;4;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;3;2;2;0;1;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0,064655172;0,061648172;0,037878788;0,036117111;0,033018868;0,031483217;0,16856492;0,160725257;0,242236025;0,230970046;0,184387618;0,175812068;0,120689655;0,115076588;0,159090909;0,151691866;0,155660377;0,148420882;0,039863326;0,038009351;0;0,022880215;0,021816096;0;0;0;0;0;0;1;1;1;1;1;1;1;0;4
198;2;0;1;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;3;0;0;1;0;0;0;0;0;5;0;0;0;1;0;0;0;2;3;0;5;0;0;0;0;0;1;0;5;0;1;0;1;1;2;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;1;2;1;1;2;1;7;0;0;0;0,064655172;0,062294724;0,037878788;0,036495899;0,033018868;0,031813406;0,16856492;0,162410906;0,242236025;0,233392406;0,184387618;0,177655944;0,120689655;0,116283484;0,159090909;0,153282775;0,155660377;0,149977486;0,039863326;0,038407985;0;0,022880215;0,022044898;0;0;0;1;0;0;1;1;1;1;1;1;1;0;3
198;2;0;1;0;0;1;0;5;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;4;0;1;1;1;0;0;3;0;0;1;0;0;0;0;0;5;0;0;0;1;0;0;0;2;3;0;6;0;0;0;0;0;0;1;7;0;1;0;1;0;1;1;2;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;2;1;1;1;2;3;1;0;0;0;0,064655172;0,062294724;0,037878788;0,036495899;0,033018868;0,031813406;0,16856492;0,162410906;0,242236025;0,233392406;0,184387618;0,177655944;0,120689655;0,116283484;0,159090909;0,153282775;0,155660377;0,149977486;0,039863326;0,038407985;0;0,022880215;0,022044898;0;0;0,5;0,5;0;0;1;1;1;1;1;1;1;0;3
198;2;0;1;0;0;1;0;16;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;3;0;0;1;0;0;0;0;0;5;0;0;0;1;0;0;1;2;3;0;6;0;0;0;0;0;0;1;6;0;1;0;1;1;2;0;1;0;3;2;0;1;2;0;0;0;1;0;0;0;1;1;2;1;1;1;2;1;6;0;0;0;0,064655172;0,059061965;0,037878788;0,034601959;0,033018868;0,030162463;0,16856492;0,15398266;0,242236025;0,221280605;0,184387618;0,168436563;0,120689655;0,110249002;0,159090909;0,145328229;0,155660377;0,142194467;0,039863326;0,036414818;0;0,022880215;0,020900887;0;0;0,666666667;0,333333333;0;0;1;1;1;1;1;1;1;0;3
198;2;0;1;0;0;1;0;16;0;2;0;1;1;2;0;1;2;0;1;1;2;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;0;0;0;0;0;1;1;1;2;1;1;1;2;1;7;0;0;0;0,064655172;0,069406793;0,037878788;0,040662565;0,033018868;0,035445482;0,16856492;0,180953047;0,242236025;0,260038369;0,184387618;0,197938582;0,120689655;0,129559346;0,159090909;0,170782775;0,155660377;0,167100127;0,039863326;0,04279295;0;0,022880215;0,024561722;0;0;0,75;0,25;0;0;1;1;1;1;1;1;1;0;6
198;2;0;1;0;0;1;0;10;0;2;0;1;1;2;0;1;1;1;2;0;1;0;1;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;1;1;2;0;1;0;1;0;1;0;3;2;0;1;2;0;0;0;0;1;0;0;1;1;1;1;1;2;2;1;3;0;0;0;0,064655172;0,065527482;0,037878788;0,038389838;0,033018868;0,033464349;0,16856492;0,170839152;0,242236025;0,245504207;0,184387618;0,186875325;0,120689655;0,122317967;0,159090909;0,16123732;0,155660377;0,157760505;0,039863326;0,040401151;0;0,022880215;0,023188909;0;0;0,6;0,2;0;0,2;1;1;1;1;1;1;1;0;4
198;2;0;1;0;0;1;0;7;0;3;0;1;0;1;1;2;2;0;1;1;2;0;1;2;0;0;3;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;3;0;4;0;0;0;0;1;0;0;5;0;1;0;1;1;2;0;1;0;3;2;2;0;1;0;0;0;1;0;0;0;1;1;1;2;1;1;2;3;1;0;0;0;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0;0;0,5;0,333333333;0;0,166666667;1;1;1;1;1;1;1;0;6
198;2;0;1;0;0;1;0;7;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;4;0;0;1;0;0;0;0;2;3;0;5;0;0;0;0;0;1;0;4;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;0;0;0;1;0;0;1;1;1;1;1;2;2;2;7;0;0;0;0,064655172;0,063587827;0,037878788;0,037253474;0,033018868;0,032473783;0,16856492;0,165782205;0,242236025;0,238237126;0,184387618;0,181343697;0,120689655;0,118697277;0,159090909;0,156464593;0,155660377;0,153090693;0,039863326;0,039205251;0;0,022880215;0,022502502;0;0;0,428571429;0,285714286;0;0,285714286;1;1;1;1;1;1;1;0;6
198;2;0;1;0;0;1;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;2;0;0;3;0;0;1;4;0;0;0;1;0;0;0;1;4;0;0;1;0;0;0;0;3;4;0;4;0;0;0;0;1;0;0;3;0;1;1;2;0;1;0;1;0;3;2;0;1;2;0;0;0;0;1;0;0;1;1;1;1;1;2;2;1;1;0;0;0;0,064655172;0,060355069;0,037878788;0,035359535;0,033018868;0,03082284;0,16856492;0,157353958;0,242236025;0,226125325;0,184387618;0,172124316;0,120689655;0,112662795;0,159090909;0,148510047;0,155660377;0,145307674;0,039863326;0,037212085;0;0,022880215;0,021358492;0;0;0,375;0,25;0;0,375;1;1;1;1;1;1;1;0;4
